catname,catdesc,eventname,starttime,venuename,venuecity,venuestate,qtysold,pricepaid
Pop,All rock and pop music concerts,George Michael,2008-02-21 14:00:00,Mountain Winery,Saratoga,CA,3,765
Pop,All rock and pop music concerts,Live,2008-02-22 15:00:00,Scottrade Center,St. Louis,MO,1,210
Musicals,Musical theatre,Pal Joey,2008-02-16 15:00:00,Vivian Beaumont Theatre,New York City,NY,4,220
Musicals,Musical theatre,Curtains,2008-01-18 19:30:00,Brooks Atkinson Theatre,New York City,NY,2,1132
Pop,All rock and pop music concerts,Tina Turner,2008-01-16 19:00:00,New Orleans Arena,New Orleans,LA,1,27
Plays,All non-musical theatre,The Cherry Orchard,2008-01-08 19:30:00,The Broadway Theatre,New York City,NY,1,105
Pop,All rock and pop music concerts,Gladys Knight,2008-02-17 14:00:00,Turner Field,Atlanta,GA,2,310
Pop,All rock and pop music concerts,Bruce Hornsby,2008-01-20 19:00:00,Rice-Eccles Stadium,Salt Lake City,UT,2,882
Pop,All rock and pop music concerts,Paul Weller,2008-02-28 19:00:00,Buck Shaw Stadium,Santa Clara,CA,1,363
Pop,All rock and pop music concerts,Lionel Richie,2008-02-12 19:00:00,Nassau Veterans Memorial Coliseum,Uniondale,NY,1,424
Pop,All rock and pop music concerts,America,2008-03-01 14:00:00,Toyota Center,Houston,TX,2,838
Musicals,Musical theatre,Mamma Mia!,2008-01-08 14:00:00,Paris Hotel,Las Vegas,NV,1,380
Pop,All rock and pop music concerts,Guitars and Saxes,2008-01-21 15:00:00,Nassau Veterans Memorial Coliseum,Uniondale,NY,2,826
Musicals,Musical theatre,Hairspray,2008-01-29 19:00:00,Gerald Schoenfeld Theatre,New York City,NY,4,464
Pop,All rock and pop music concerts,Billy Joel,2008-02-23 15:00:00,Joe Louis Arena,Detroit,MI,1,301
Pop,All rock and pop music concerts,Bloc Party,2008-02-23 15:00:00,North Charleston Coliseum,Charleston,SC,2,74
Pop,All rock and pop music concerts,B.B. King,2008-01-09 19:30:00,Conseco Fieldhouse,Indianapolis,IN,4,1412
Pop,All rock and pop music concerts,Gogol Bordello,2008-01-18 19:30:00,RFK Stadium,Washington,DC,4,828
Pop,All rock and pop music concerts,Yaz,2008-02-05 19:30:00,Jobing.com Arena,Glendale,AZ,1,1041
Musicals,Musical theatre,Mary Poppins,2008-02-04 14:30:00,Imperial Theatre,New York City,NY,1,82
Pop,All rock and pop music concerts,Smokey Robinson,2008-02-20 19:00:00,null,null,null,4,884
Musicals,Musical theatre,Fiddler on the Roof,2008-03-02 20:00:00,Imperial Theatre,New York City,NY,1,287
Pop,All rock and pop music concerts,Jim Brickman,2008-02-22 20:00:00,Busch Stadium,St. Louis,MO,1,117
Plays,All non-musical theatre,The Tempest,2008-02-25 14:30:00,Shubert Theatre,New York City,NY,4,196
Pop,All rock and pop music concerts,Billy Idol,2008-01-09 14:00:00,Rice-Eccles Stadium,Salt Lake City,UT,4,432
Opera,All opera and light opera,Carmen,2008-02-04 15:00:00,Detroit Opera House,Detroit,MI,1,129
Pop,All rock and pop music concerts,Tower of Power,2008-02-13 15:00:00,Arrowhead Stadium,Kansas City,MO,2,504
Plays,All non-musical theatre,A Streetcar Named Desire,2008-02-09 14:00:00,Winter Garden Theatre,New York City,NY,1,382
Pop,All rock and pop music concerts,English Beat,2008-03-03 14:00:00,Conseco Fieldhouse,Indianapolis,IN,1,355
Pop,All rock and pop music concerts,Paul Weller,2008-02-28 19:00:00,Buck Shaw Stadium,Santa Clara,CA,2,726
Pop,All rock and pop music concerts,Monsters of Rock,2008-02-11 14:30:00,Superpages.com Center,Dallas,TX,1,55
Pop,All rock and pop music concerts,Regina Spektor,2008-02-01 14:00:00,Kauffman Stadium,Kansas City,MO,1,54
Pop,All rock and pop music concerts,Sigur Ros,2008-02-06 19:00:00,Yankee Stadium,New York City,NY,1,96
Plays,All non-musical theatre,To Be or Not To Be,2008-02-22 14:30:00,Eugene O'Neill Theatre,New York City,NY,2,572
Pop,All rock and pop music concerts,Nas,2008-02-19 19:30:00,New Orleans Arena,New Orleans,LA,3,372
Plays,All non-musical theatre,Wicked,2008-03-03 15:00:00,Greek Theatre,Los Angeles,CA,2,234
Pop,All rock and pop music concerts,Mars Volta,2008-02-14 14:00:00,Shoreline Amphitheatre,Mountain View,CA,1,236
Pop,All rock and pop music concerts,Air Supply,2008-02-16 20:00:00,Nationwide Arena,Columbus,OH,2,338
Pop,All rock and pop music concerts,Dolly Parton,2008-02-23 15:00:00,Saratoga Springs Performing Arts Center,Saratoga Springs,NY,2,372
Pop,All rock and pop music concerts,Little River Band,2008-02-22 19:30:00,Coors Field,Denver,CO,1,137
Pop,All rock and pop music concerts,Flogging Molly,2008-02-16 15:00:00,Time Warner Cable Arena,Charlotte,NC,2,764
Pop,All rock and pop music concerts,English Beat,2008-03-03 14:00:00,Conseco Fieldhouse,Indianapolis,IN,2,710
Pop,All rock and pop music concerts,Charlie Daniels Band,2008-01-29 19:00:00,Time Warner Cable Arena,Charlotte,NC,2,656
Pop,All rock and pop music concerts,Crue Fest,2008-01-10 14:00:00,American Airlines Arena,Miami,FL,1,445
Pop,All rock and pop music concerts,George Michael,2008-02-21 14:00:00,Mountain Winery,Saratoga,CA,1,255
Musicals,Musical theatre,Billy Elliot the Musical,2008-02-14 19:00:00,Geffen Playhouse,Los Angeles,CA,2,1000
Musicals,Musical theatre,Seven Brides for Seven Brothers,2008-01-12 20:00:00,Geffen Playhouse,Los Angeles,CA,2,944
Pop,All rock and pop music concerts,Sara Evans,2008-02-19 19:00:00,Nassau Veterans Memorial Coliseum,Uniondale,NY,1,88
Musicals,Musical theatre,The Little Mermaid,2008-02-19 19:30:00,Studio 54,New York City,NY,1,78
Opera,All opera and light opera,Lucia di Lammermoor,2008-02-12 15:00:00,Detroit Opera House,Detroit,MI,1,62
Pop,All rock and pop music concerts,Ringo Starr,2008-02-16 19:00:00,Lambeau Field,Green Bay,WI,2,414
Plays,All non-musical theatre,Endgame,2008-02-24 14:00:00,Carnegie Hall,New York City,NY,1,144
Pop,All rock and pop music concerts,Sunday in the Country,2008-02-26 19:30:00,Jobing.com Arena,Glendale,AZ,2,182
Plays,All non-musical theatre,August: Osage County,2008-01-13 19:30:00,Circle in the Square Theatre,New York City,NY,2,4730
Pop,All rock and pop music concerts,Rock To Win At the DNC,2008-01-12 19:30:00,Ford Field,Detroit,MI,1,1261
Pop,All rock and pop music concerts,Buckcherry,2008-01-20 15:00:00,The Home Depot Center,Carson,CA,1,2245
Plays,All non-musical theatre,The Glass Menagerie,2008-01-11 14:30:00,Charles Playhouse,Boston,MA,2,266
Plays,All non-musical theatre,The Farnsworth Invention,2008-01-11 14:00:00,New Amsterdam Theatre,New York City,NY,1,104
Pop,All rock and pop music concerts,Randy Travis,2008-01-15 19:30:00,Heinz Field,Pittsburgh,PA,3,132
Pop,All rock and pop music concerts,Loretta Lynn,2008-02-09 19:00:00,Toyota Park,Bridgeview,IL,3,369
Opera,All opera and light opera,La Traviata,2008-03-03 15:00:00,Lyric Opera House,Chicago,IL,1,158
Pop,All rock and pop music concerts,LeAnn Rimes,2008-01-11 19:30:00,FedExField,Landover,MD,3,162
Musicals,Musical theatre,Phantom of the Opera,2008-02-23 20:00:00,Luxor Hotel,Las Vegas,NV,2,88
Pop,All rock and pop music concerts,Fab Faux,2008-02-14 19:30:00,Toyota Center,Houston,TX,2,532
Plays,All non-musical theatre,The Frogs,2008-02-23 19:30:00,Ethel Barrymore Theatre,New York City,NY,4,384
Musicals,Musical theatre,Chicago,2008-01-10 14:00:00,Marquis Theatre,New York City,NY,1,279
Musicals,Musical theatre,Folies Bergere,2008-01-14 14:00:00,Bellagio Hotel,Las Vegas,NV,1,103
Plays,All non-musical theatre,The Country Girl,2008-02-05 19:00:00,Paramount Theatre,Seattle,WA,1,56
Plays,All non-musical theatre,All My Sons,2008-01-22 19:00:00,The Guthrie Theater,Minneapolis,MN,2,188
Pop,All rock and pop music concerts,Kool and The Gang,2008-02-17 14:00:00,Louisiana Superdome,New Orleans,LA,1,411
Plays,All non-musical theatre,Waiting for Godot,2008-02-06 15:00:00,Walter Kerr Theatre,New York City,NY,1,74
Musicals,Musical theatre,South Pacific,2008-02-17 19:00:00,Paramount Theatre,Seattle,WA,1,335
Musicals,Musical theatre,South Pacific,2008-02-17 19:00:00,Paramount Theatre,Seattle,WA,2,670
Pop,All rock and pop music concerts,Motley Crue,2008-03-04 19:00:00,Amway Arena,Orlando,FL,2,286
Plays,All non-musical theatre,Our Town,2008-02-20 19:00:00,Pasadena Playhouse,Pasadena,CA,3,885
Plays,All non-musical theatre,The Seagull,2008-02-14 19:30:00,Cort Theatre,New York City,NY,1,355
Plays,All non-musical theatre,Iphigenia,2008-01-14 14:30:00,Curran Theatre,San Francisco,CA,4,312
Opera,All opera and light opera,The Fly,2008-01-13 19:30:00,War Memorial Opera House,San Francisco,CA,3,168
Pop,All rock and pop music concerts,Gavin DeGraw,2008-02-08 15:00:00,Angel Stadium of Anaheim,Anaheim,CA,1,118
Pop,All rock and pop music concerts,Cypress Hill,2008-02-01 19:00:00,TD Banknorth Garden,Boston,MA,1,1370
Pop,All rock and pop music concerts,Neil Diamond,2008-01-14 19:30:00,Dodger Stadium,Los Angeles,CA,3,522
Pop,All rock and pop music concerts,Lyle Lovett,2008-02-16 15:00:00,Minute Maid Park,Houston,TX,1,248
Plays,All non-musical theatre,Wicked,2008-03-02 20:00:00,Hilton Theatre,New York City,NY,4,468
Plays,All non-musical theatre,Hedda Gabler,2008-02-21 20:00:00,Carnegie Hall,New York City,NY,4,520
Plays,All non-musical theatre,Rosencrantz and Guildenstern Are Dead,2008-01-11 19:30:00,The Guthrie Theater,Minneapolis,MN,2,258
Pop,All rock and pop music concerts,Dolly Parton,2008-02-23 15:00:00,Saratoga Springs Performing Arts Center,Saratoga Springs,NY,1,305
Plays,All non-musical theatre,The 39 Steps,2008-02-05 14:30:00,Music Box Theatre,New York City,NY,2,442
Pop,All rock and pop music concerts,Gwen Stefani,2008-01-18 15:00:00,Toyota Center,Houston,TX,2,958
Pop,All rock and pop music concerts,George Thorogood and the Destroyers,2008-01-30 19:00:00,Minute Maid Park,Houston,TX,3,1419
Musicals,Musical theatre,Mamma Mia!,2008-02-24 20:00:00,Majestic Theatre,New York City,NY,1,492
Pop,All rock and pop music concerts,Jonas Brothers,2008-02-09 14:30:00,Dolphin Stadium,Miami Gardens,FL,2,364
Opera,All opera and light opera,La Sonnambula,2008-03-01 15:00:00,Grand 1894 Opera House,Galveston,TX,2,366
Pop,All rock and pop music concerts,Wallflowers,2008-02-24 19:30:00,Air Canada Centre,Toronto,ON,1,91
Pop,All rock and pop music concerts,Smash Mouth,2008-01-15 14:00:00,Sommet Center,Nashville,TN,2,102
Pop,All rock and pop music concerts,David Sanborn,2008-02-06 19:30:00,HP Pavilion at San Jose,San Jose,CA,1,1730
Musicals,Musical theatre,Phantom of the Opera,2008-01-05 19:30:00,Luxor Hotel,Las Vegas,NV,2,58
Pop,All rock and pop music concerts,Zucchero,2008-02-01 14:00:00,EnergySolutions Arena,Salt Lake City,UT,1,433
Musicals,Musical theatre,Mamma Mia!,2008-01-04 20:00:00,Mandalay Bay Hotel,Las Vegas,NV,1,104
Pop,All rock and pop music concerts,Janet Jackson,2008-02-21 14:00:00,The Home Depot Center,Carson,CA,1,417
Pop,All rock and pop music concerts,Calibash,2008-02-26 20:00:00,Raymond James Stadium,Tampa,FL,1,469
Musicals,Musical theatre,High Society,2008-02-21 14:30:00,Belasco Theatre,New York City,NY,3,135
Plays,All non-musical theatre,For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf,2008-02-02 19:30:00,Circle in the Square Theatre,New York City,NY,2,744
Plays,All non-musical theatre,As You Like It,2008-02-21 19:30:00,Shubert Theatre,New York City,NY,1,233
Pop,All rock and pop music concerts,Kool and The Gang,2008-02-14 14:00:00,Wrigley Field,Chicago,IL,2,64
Pop,All rock and pop music concerts,DJ Shadow and Cut Chemist,2008-01-25 19:00:00,Gillette Stadium,Foxborough,MA,2,114
Plays,All non-musical theatre,August: Osage County,2008-01-03 19:00:00,Ethel Barrymore Theatre,New York City,NY,2,832
Plays,All non-musical theatre,Hedda Gabler,2008-03-02 14:30:00,Bernard B. Jacobs Theatre,New York City,NY,4,856
Plays,All non-musical theatre,Cirque du Soleil,2008-02-13 19:30:00,New Amsterdam Theatre,New York City,NY,1,154
Pop,All rock and pop music concerts,Fiction Plane,2008-01-09 19:30:00,E.J. Nutter Center,Dayton,OH,2,642
Pop,All rock and pop music concerts,Loretta Lynn,2008-02-09 19:00:00,Toyota Park,Bridgeview,IL,1,392
Pop,All rock and pop music concerts,Jesse McCartney,2008-02-04 19:30:00,Bradley Center,Milwaukee,WI,1,123
Pop,All rock and pop music concerts,Janet Jackson,2008-02-21 14:00:00,The Home Depot Center,Carson,CA,4,1668
Plays,All non-musical theatre,Thurgood,2008-02-17 15:00:00,George Gershwin Theatre,New York City,NY,4,824
Plays,All non-musical theatre,As You Like It,2008-01-08 14:00:00,Charles Playhouse,Boston,MA,4,1716
Musicals,Musical theatre,Spamalot,2008-01-05 19:00:00,Mirage Hotel,Las Vegas,NV,4,9460
Pop,All rock and pop music concerts,Allman Brothers Band,2008-01-07 14:00:00,Rexall Place,Edmonton,AB,1,92
Pop,All rock and pop music concerts,Stray Cats,2008-02-16 15:00:00,Target Center,Minneapolis,MN,2,542
Pop,All rock and pop music concerts,Los Lonely Boys,2008-02-15 19:30:00,null,null,null,1,213
Plays,All non-musical theatre,The 39 Steps,2008-02-05 14:30:00,Music Box Theatre,New York City,NY,4,620
Pop,All rock and pop music concerts,Fleet Foxes,2008-02-03 15:00:00,Busch Stadium,St. Louis,MO,2,600
Plays,All non-musical theatre,Passing Strange,2008-01-07 15:00:00,August Wilson Theatre,New York City,NY,2,500
Pop,All rock and pop music concerts,Willie Nelson,2008-01-09 19:30:00,Amway Arena,Orlando,FL,1,142
Pop,All rock and pop music concerts,Toby Keith,2008-02-23 15:00:00,HSBC Arena,Buffalo,NY,2,674
Pop,All rock and pop music concerts,Govt Mule,2008-01-08 19:00:00,BankAtlantic Center,Sunrise,FL,1,175
Plays,All non-musical theatre,The Country Girl,2008-03-01 20:00:00,Broadhurst Theatre,New York City,NY,3,1044
Pop,All rock and pop music concerts,Celtic Thunder,2008-02-12 19:00:00,Toyota Park,Bridgeview,IL,2,242
Plays,All non-musical theatre,Julius Caesar,2008-02-19 14:30:00,Imperial Theatre,New York City,NY,3,1419
Pop,All rock and pop music concerts,Lyle Lovett,2008-02-19 15:00:00,Tropicana Field,St. Petersburg,FL,2,4994
Pop,All rock and pop music concerts,Shakira,2008-02-21 15:00:00,E.J. Nutter Center,Dayton,OH,1,214
Musicals,Musical theatre,Mamma Mia!,2008-01-11 14:00:00,Hilton Theatre,New York City,NY,3,594
Plays,All non-musical theatre,A Streetcar Named Desire,2008-02-09 14:00:00,Winter Garden Theatre,New York City,NY,2,116
Plays,All non-musical theatre,Cirque du Soleil,2008-02-13 19:30:00,New Amsterdam Theatre,New York City,NY,1,453
Pop,All rock and pop music concerts,Jimmy Buffett,2008-01-08 14:00:00,Fox Theatre,Redwood City,CA,4,792
Pop,All rock and pop music concerts,Michael McDonald,2008-02-26 19:00:00,Jobing.com Arena,Glendale,AZ,1,339
Plays,All non-musical theatre,Spring Awakening,2008-01-28 19:00:00,Lyceum Theatre,New York City,NY,1,419
Pop,All rock and pop music concerts,Old 97s,2008-02-11 15:00:00,Cleveland Browns Stadium,Cleveland,OH,1,284
Musicals,Musical theatre,A Chorus Line,2008-01-20 14:00:00,Circle in the Square Theatre,New York City,NY,2,598
Pop,All rock and pop music concerts,Smokey Robinson,2008-02-15 19:00:00,Kauffman Stadium,Kansas City,MO,3,810
Pop,All rock and pop music concerts,Smokey Robinson,2008-02-15 19:00:00,Kauffman Stadium,Kansas City,MO,1,270
Plays,All non-musical theatre,Thurgood,2008-02-17 15:00:00,George Gershwin Theatre,New York City,NY,2,412
Pop,All rock and pop music concerts,Britney Spears,2008-02-26 19:30:00,Bank of America Stadium,Charlotte,NC,2,260
Opera,All opera and light opera,Thais,2008-02-17 14:00:00,Metropolitan Opera,New York City,NY,1,1735
Pop,All rock and pop music concerts,Idina Menzel,2008-03-01 19:30:00,Dick's Sporting Goods Park,Commerce City,CO,1,153
Plays,All non-musical theatre,Thurgood,2008-02-17 15:00:00,George Gershwin Theatre,New York City,NY,2,122
Pop,All rock and pop music concerts,Randy Travis,2008-01-24 15:00:00,Ralph Wilson Stadium,Orchard Park,NY,2,136
Pop,All rock and pop music concerts,Led Zeppelin,2008-01-14 19:30:00,LP Field,Nashville,TN,1,226
Musicals,Musical theatre,Mamma Mia!,2008-01-10 20:00:00,Majestic Theatre,New York City,NY,2,58
Musicals,Musical theatre,Spamalot,2008-02-09 14:30:00,Luxor Hotel,Las Vegas,NV,2,182
Plays,All non-musical theatre,Woyzeck,2008-02-16 14:30:00,Palace Theatre,New York City,NY,1,52
Plays,All non-musical theatre,Othello,2008-01-11 15:00:00,Eugene O'Neill Theatre,New York City,NY,2,506
Pop,All rock and pop music concerts,G. Love and Special Sauce,2008-02-12 19:30:00,General Motors Place,Vancouver,BC,2,142
Musicals,Musical theatre,Oliver!,2008-03-02 14:30:00,Greek Theatre,Los Angeles,CA,1,313
Pop,All rock and pop music concerts,El Tri,2008-01-30 19:00:00,Amway Arena,Orlando,FL,1,372
Plays,All non-musical theatre,Electra,2008-01-16 15:00:00,Pasadena Playhouse,Pasadena,CA,4,1688
Pop,All rock and pop music concerts,Kansas,2008-02-25 14:00:00,Edward Jones Dome,St. Louis,MO,1,278
Opera,All opera and light opera,Ring Cycle,2008-01-09 20:00:00,Lyric Opera House,Chicago,IL,2,590
Pop,All rock and pop music concerts,Journey,2008-02-12 14:00:00,Reliant Stadium,Houston,TX,4,7844
Pop,All rock and pop music concerts,Ben E. King,2008-02-25 19:00:00,Fenway Park,Boston,MA,1,156
Musicals,Musical theatre,Billy Elliot the Musical,2008-02-14 19:00:00,Geffen Playhouse,Los Angeles,CA,1,500
Pop,All rock and pop music concerts,Sammy Hagar,2008-02-03 19:00:00,Busch Stadium,St. Louis,MO,2,228
Pop,All rock and pop music concerts,Irish Tenors,2008-02-19 14:30:00,Miller Park,Milwaukee,WI,2,754
Pop,All rock and pop music concerts,Merle Haggard,2008-01-28 15:00:00,Lucas Oil Stadium,Indianapolis,IN,2,368
Pop,All rock and pop music concerts,Rick Springfield,2008-02-07 20:00:00,Oracle Arena,Oakland,CA,1,196
Pop,All rock and pop music concerts,Eagles,2008-01-18 19:00:00,Minute Maid Park,Houston,TX,2,712
Plays,All non-musical theatre,Hedda Gabler,2008-02-21 20:00:00,Carnegie Hall,New York City,NY,1,40
Pop,All rock and pop music concerts,Regina Spektor,2008-02-15 19:00:00,Buck Shaw Stadium,Santa Clara,CA,1,139
Pop,All rock and pop music concerts,Boston,2008-01-12 14:00:00,Rexall Place,Edmonton,AB,1,226
Pop,All rock and pop music concerts,Cypress Hill,2008-02-01 19:00:00,TD Banknorth Garden,Boston,MA,1,228
Plays,All non-musical theatre,The Seagull,2008-02-21 15:00:00,Carnegie Hall,New York City,NY,1,44
Pop,All rock and pop music concerts,Jimmy Buffett,2008-02-13 19:30:00,Staples Center,Los Angeles,CA,1,258
Pop,All rock and pop music concerts,Rancid,2008-02-03 19:00:00,EnergySolutions Arena,Salt Lake City,UT,2,676
Pop,All rock and pop music concerts,Jamboree in the Hills,2008-01-27 15:00:00,Reliant Stadium,Houston,TX,1,411
Plays,All non-musical theatre,Iphigenia,2008-02-06 20:00:00,George Gershwin Theatre,New York City,NY,4,832
Pop,All rock and pop music concerts,Buckcherry,2008-01-20 15:00:00,The Home Depot Center,Carson,CA,1,221
Pop,All rock and pop music concerts,Jesse Lacey,2008-02-05 15:00:00,E.J. Nutter Center,Dayton,OH,2,942
Musicals,Musical theatre,Chicago,2008-02-07 14:30:00,Palace Theatre,New York City,NY,4,936
Opera,All opera and light opera,Tristan und Isolde,2008-01-17 15:00:00,Ellie Caulkins Opera House,Denver,CO,1,243
Opera,All opera and light opera,La Sonnambula,2008-03-01 15:00:00,Grand 1894 Opera House,Galveston,TX,1,183
Plays,All non-musical theatre,Passing Strange,2008-03-04 14:30:00,Marquis Theatre,New York City,NY,2,384
Pop,All rock and pop music concerts,Vans Warped Tour,2008-02-01 19:30:00,Target Center,Minneapolis,MN,3,621
Plays,All non-musical theatre,Thurgood,2008-01-31 15:00:00,Nederlander Theatre,New York City,NY,1,325
Musicals,Musical theatre,The King and I,2008-01-23 14:30:00,Imperial Theatre,New York City,NY,4,1568
Musicals,Musical theatre,The King and I,2008-01-23 14:30:00,Imperial Theatre,New York City,NY,2,784
Plays,All non-musical theatre,Cirque du Soleil,2008-02-23 14:30:00,Pasadena Playhouse,Pasadena,CA,1,234
Musicals,Musical theatre,Memphis - The Birth of Rock n Roll,2008-02-01 20:00:00,San Jose Repertory Theatre,San Jose,CA,3,1452
Pop,All rock and pop music concerts,Squeeze,2008-02-04 14:00:00,M&T Bank Stadium,Baltimore,MD,2,602
Pop,All rock and pop music concerts,Squeeze,2008-02-04 14:00:00,M&T Bank Stadium,Baltimore,MD,1,301
Musicals,Musical theatre,The King and I,2008-01-23 14:30:00,Imperial Theatre,New York City,NY,2,568
Pop,All rock and pop music concerts,Alice Cooper,2008-03-06 19:00:00,Busch Stadium,St. Louis,MO,1,385
Pop,All rock and pop music concerts,Bruce Springsteen,2008-01-17 15:00:00,AT&T Center,San Antonio,TX,1,1996
Musicals,Musical theatre,Grease,2008-01-29 19:00:00,August Wilson Theatre,New York City,NY,2,2964
Plays,All non-musical theatre,Rhinoceros,2008-01-14 15:00:00,Richard Rodgers Theatre,New York City,NY,2,476
Pop,All rock and pop music concerts,Cowboy Junkies,2008-01-16 15:00:00,Louisiana Superdome,New Orleans,LA,1,240
Musicals,Musical theatre,Beatles LOVE,2008-03-01 20:00:00,Tropicana Hotel,Las Vegas,NV,2,148
Pop,All rock and pop music concerts,Manhattan Transfer,2008-01-17 19:00:00,McAfee Coliseum,Oakland,CA,1,261
Pop,All rock and pop music concerts,Isaac Hayes,2008-03-06 19:30:00,Chase Field,Phoenix,AZ,2,416
Pop,All rock and pop music concerts,Alkaline Trio,2008-03-03 14:00:00,Rose Garden,Portland,OR,2,458
Pop,All rock and pop music concerts,Flogging Molly,2008-02-16 15:00:00,Time Warner Cable Arena,Charlotte,NC,4,1528
Pop,All rock and pop music concerts,Stray Cats,2008-02-16 15:00:00,Target Center,Minneapolis,MN,2,256
Pop,All rock and pop music concerts,Black Crowes,2008-03-04 19:00:00,Great American Ball Park,Cincinnati,OH,1,35
Pop,All rock and pop music concerts,Backstreet Boys,2008-01-14 19:00:00,Bradley Center,Milwaukee,WI,1,190
Musicals,Musical theatre,Chicago,2008-02-07 14:30:00,Palace Theatre,New York City,NY,1,234
Pop,All rock and pop music concerts,Gavin DeGraw,2008-02-08 15:00:00,Angel Stadium of Anaheim,Anaheim,CA,1,166
Plays,All non-musical theatre,A Man For All Seasons,2008-01-21 14:30:00,New Amsterdam Theatre,New York City,NY,2,856
Pop,All rock and pop music concerts,Sammy Hagar,2008-02-03 19:00:00,Busch Stadium,St. Louis,MO,3,342
Pop,All rock and pop music concerts,Chromeo,2008-02-18 14:00:00,American Airlines Arena,Miami,FL,1,427
Plays,All non-musical theatre,The Seagull,2008-03-05 14:30:00,Lyceum Theatre,New York City,NY,4,1428
Pop,All rock and pop music concerts,Fab Faux,2008-02-14 19:30:00,Toyota Center,Houston,TX,2,94
Plays,All non-musical theatre,Cirque du Soleil,2008-02-23 14:30:00,Pasadena Playhouse,Pasadena,CA,2,468
Opera,All opera and light opera,Lucia di Lammermoor,2008-02-12 15:00:00,Detroit Opera House,Detroit,MI,4,248
Pop,All rock and pop music concerts,English Beat,2008-02-26 19:30:00,US Airways Center,Phoenix,AZ,2,558
Plays,All non-musical theatre,A Bronx Tale,2008-02-27 20:00:00,Minskoff Theatre,New York City,NY,2,190
Musicals,Musical theatre,The King and I,2008-01-23 14:30:00,Imperial Theatre,New York City,NY,3,852
